GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
LIMO_OrientDB,nl.fontys.sofa.limo.orientdb.serialization,CountrySerializer,6,3,0,0,2,1,2,1,2,1
LIMO_OrientDB,nl.fontys.sofa.limo.orientdb.serialization,ExecutionStateSerializer,6,3,0,0,2,1,2,1,2,1
LIMO_OrientDB,nl.fontys.sofa.limo.orientdb.serialization,TimeTypeSerializer,0,9,0,0,0,3,0,3,0,3
LIMO_OrientDB,nl.fontys.sofa.limo.orientdb.serialization,ContinentSerializer,0,9,0,0,0,3,0,3,0,3
LIMO_OrientDB,nl.fontys.sofa.limo.orientdb,OrientDBConnector,19,307,5,21,3,84,5,18,0,10
LIMO_OrientDB,nl.fontys.sofa.limo.orientdb,Installer,10,0,0,0,6,0,3,0,3,0
LIMO_OrientDB,nl.fontys.sofa.limo.orientdb.dao,OrientDBHubDAO,0,4,0,0,0,2,0,1,0,1
LIMO_OrientDB,nl.fontys.sofa.limo.orientdb.dao,OrientDBHubTypeDAO,0,4,0,0,0,2,0,1,0,1
LIMO_OrientDB,nl.fontys.sofa.limo.orientdb.dao,OrientDBLegDAO,0,4,0,0,0,2,0,1,0,1
LIMO_OrientDB,nl.fontys.sofa.limo.orientdb.dao,OrientDBEventDAO,0,4,0,0,0,2,0,1,0,1
LIMO_OrientDB,nl.fontys.sofa.limo.orientdb.dao,OrientDBAbstractDAO,0,197,2,22,0,42,2,18,0,8
LIMO_OrientDB,nl.fontys.sofa.limo.orientdb.dao,OrientDBLegTypeDAO,0,4,0,0,0,2,0,1,0,1
LIMO_OrientDB,nl.fontys.sofa.limo.orientdb.dao,OrientDBProcedureCategoryDAO,0,4,0,0,0,2,0,1,0,1
